Largo_via,LON,Classes_1,CIV,IDNodo,ESTADO,COL,CK_DNH_Cs,CODIGO_LOC,TIPO_CLA_1,NOMBRE_EJE,ELEM,IDEstacion,IDW_Cs,Input_FID,ESTACION,ROW,CK_DH_Cs,Input_FID_,OBJECTID,FID_Grilla,NOMBRE_EXT,FID_LINK,Classes,Shape_Leng,NOMBRE_E_1,CLASIFI_SU,OBJECTID_3,OBJECTID_2,ORIG_FID,Classes_12,TARGET_FID,LAT,hora,>C5,AL,B,BT,C,C2G,C2P,C3-C4,C5,ESP,INT,L,M,TOTAL,NH_>C5,NH_AL,NH_B,NH_BT,NH_C,NH_C2G,NH_C2P,NH_C3-C4,NH_C5,NH_ESP,NH_INT,NH_L,NH_M,NH_TOTAL,PPH,PPNH,FEHPM10,FEHPM25,FENHPM10,FENHPM25,FAH,FANH,EHPM10,EHPM25,ENHPM10,ENHPM25
249.674,-74.027,6.0,1006580.0,3493.0,BUENO,42.0,2.53435,1,3.0,AK 7,24081199.0,1.0,2.53435,0.0,AK_45_X_AC_170,51.0,4.17411,3306.0,7181.0,3272.0,CL 235,5504.0,7.0,249.673680299,,Arterial,3472.0,3273.0,5438.0,6.0,3272.0,4.80928,20,14.8,13.13333333,28.8,30.06666667,9.2,43.06666667,9.066666667,6.066666667,3.466666667,23.6,16.33333333,2157.4,197.5333333,2624.666667,14.8,6,13.83333333,16,8.166666667,13.66666667,12.33333333,3,3.666666667,19.66666667,18,2185.5,174.8333333,2526.5,2.39,2.16,2.44,0.85,2.239,0.767,637.293,621.556,1555.201,541.895,1391.795,476.687
249.674,-74.027,6.0,1006580.0,3493.0,BUENO,42.0,2.53435,1,3.0,AK 7,24081199.0,1.0,2.53435,0.0,AK_45_X_AC_170,51.0,4.17411,3306.0,7181.0,3272.0,CL 235,5504.0,7.0,249.673680299,,Arterial,3472.0,3273.0,5438.0,6.0,3272.0,4.80928,21,11.6,8.733333333,19.33333333,26.93333333,9.333333333,39.33333333,6.733333333,4,6.266666667,15.8,10.66666667,1682.266667,189.5333333,2100.133333,11.6,6.5,11.5,16.16666667,6.333333333,9.833333333,6,2.833333333,1.5,15.33333333,10.33333333,1750,148.3333333,2029.5,2.38,2.11,2.432,0.847,2.195,0.749,506.963,498.412,1232.753,429.235,1094.051,373.221
249.674,-74.027,6.0,1006580.0,3493.0,BUENO,42.0,2.53435,1,3.0,AK 7,24081199.0,1.0,2.53435,0.0,AK_45_X_AC_170,51.0,4.17411,3306.0,7181.0,3272.0,CL 235,5504.0,7.0,249.673680299,,Arterial,3472.0,3273.0,5438.0,6.0,3272.0,4.80928,22,8.533333333,14,10.46666667,24.93333333,6,26.66666667,6.666666667,3.733333333,5.6,15.86666667,7.6,900.7333333,138.2,1210.733333,8.533333333,12.33333333,8.666666667,18.33333333,5.166666667,23.5,5.333333333,5.666666667,5.166666667,18.5,8,1313.666667,124.5,1595.333333,2.72,2.42,2.724,0.97,2.466,0.861,291.869,388.835,795.025,283.177,958.998,334.863
249.674,-74.027,6.0,1006580.0,3493.0,BUENO,42.0,2.53435,1,3.0,AK 7,24081199.0,1.0,2.53435,0.0,AK_45_X_AC_170,51.0,4.17411,3306.0,7181.0,3272.0,CL 235,5504.0,7.0,249.673680299,,Arterial,3472.0,3273.0,5438.0,6.0,3272.0,4.80928,23,9.4,7.2,3.4,23.93333333,1.733333333,20.46666667,5.533333333,4.2,5.466666667,8.533333333,3.6,401.8,49.93333333,562.6666667,9.4,10,3.333333333,20.33333333,1.666666667,19.83333333,4.5,2.5,3.666666667,12.83333333,3.5,868.6666667,72.83333333,1049.833333,3.69,2.6,3.53,1.324,2.621,0.927,136.122,257.928,480.519,180.263,676.138,238.991
134.44,-74.027,6.0,1006711.0,3493.0,,42.0,2.53435,1,3.0,CL 234,24005308.0,1.0,2.53435,0.0,AK_45_X_AC_170,51.0,4.17411,3306.0,4935.0,3272.0,AK 7,2258.0,7.0,134.439942926,,Arterial,3472.0,3273.0,2231.0,6.0,3272.0,4.80928,0,6.6,4.2,2.4,8.4,0.4,18.53333333,4.733333333,3.466666667,5,7.933333333,1.866666667,200.6,28.8,294.9333333,6.6,6.833333333,1.166666667,7.5,0.166666667,15.83333333,2.666666667,2.833333333,2.666666667,10.83333333,1.833333333,593,40.16666667,697,4.44,2.65,4.131,1.599,2.664,0.945,39.377,93.046,162.679,62.978,247.894,87.906
134.44,-74.027,6.0,1006711.0,3493.0,,42.0,2.53435,1,3.0,CL 234,24005308.0,1.0,2.53435,0.0,AK_45_X_AC_170,51.0,4.17411,3306.0,4935.0,3272.0,AK 7,2258.0,7.0,134.439942926,,Arterial,3472.0,3273.0,2231.0,6.0,3272.0,4.80928,1,6.8,0.066666667,0.866666667,4.2,0.2,13,4.2,3.666666667,3.8,6.6,1,106.6,15.13333333,166.2666667,6.8,0,1,2,0.166666667,17,2.666666667,2,2.5,8.166666667,1.666666667,446.6666667,35.5,526.5,5.59,2.69,5.025,2.023,2.698,0.959,22.33,70.736,112.204,45.172,190.87,67.857
134.44,-74.027,6.0,1006711.0,3493.0,,42.0,2.53435,1,3.0,CL 234,24005308.0,1.0,2.53435,0.0,AK_45_X_AC_170,51.0,4.17411,3306.0,4935.0,3272.0,AK 7,2258.0,7.0,134.439942926,,Arterial,3472.0,3273.0,2231.0,6.0,3272.0,4.80928,2,7.2,0,0.466666667,3.066666667,0,12.46666667,8,4.6,3.866666667,6,2.2,87.13333333,11.46666667,146.6666667,7.2,0,0.166666667,1.833333333,0.5,14.16666667,5,4,1.833333333,7.666666667,1.833333333,426.5,26.33333333,496.5,6.48,2.82,5.697,2.352,2.809,1.007,19.695,66.821,112.206,46.321,187.686,67.263
134.44,-74.027,6.0,1006711.0,3493.0,,42.0,2.53435,1,3.0,CL 234,24005308.0,1.0,2.53435,0.0,AK_45_X_AC_170,51.0,4.17411,3306.0,4935.0,3272.0,AK 7,2258.0,7.0,134.439942926,,Arterial,3472.0,3273.0,2231.0,6.0,3272.0,4.80928,3,11.53333333,2.4,2,3.866666667,0.4,17.53333333,7.4,6.8,5.933333333,5.6,2.466666667,113.2666667,13.33333333,192.8,11.53333333,0,1,2,0.333333333,15.5,4.5,3.5,4,7,1.5,424.3333333,32,506.1666667,7.3,3.25,6.304,2.656,3.169,1.163,25.88,68.187,163.152,68.732,216.077,79.329
134.44,-74.027,6.0,1006711.0,3493.0,,42.0,2.53435,1,3.0,CL 234,24005308.0,1.0,2.53435,0.0,AK_45_X_AC_170,51.0,4.17411,3306.0,4935.0,3272.0,AK 7,2258.0,7.0,134.439942926,,Arterial,3472.0,3273.0,2231.0,6.0,3272.0,4.80928,4,21.73333333,9.133333333,16.4,14.46666667,4.4,38.73333333,15.46666667,14.2,11,50,10.66666667,253.4,32.26666667,501.3333333,21.73333333,5.666666667,7,10,2.833333333,24.5,10.33333333,9.5,6.5,13.16666667,9.166666667,367.5,25.66666667,512,7.17,5.31,6.209,2.608,4.81,1.92,66.131,69.044,410.588,172.443,332.099,132.536
134.44,-74.027,6.0,1006711.0,3493.0,,42.0,2.53435,1,3.0,CL 234,24005308.0,1.0,2.53435,0.0,AK_45_X_AC_170,51.0,4.17411,3306.0,4935.0,3272.0,AK 7,2258.0,7.0,134.439942926,,Arterial,3472.0,3273.0,2231.0,6.0,3272.0,4.80928,5,22.46666667,14.86666667,39.06666667,24.73333333,11.66666667,95.26666667,28.26666667,25.33333333,15.33333333,223,24.86666667,1295,168,2024.2,22.46666667,11.66666667,28.5,16.83333333,8.833333333,50.66666667,19.5,17.5,9.5,30.16666667,17.83333333,635.8333333,104.3333333,994,4.22,4.65,3.957,1.519,4.297,1.677,267.253,130.895,1057.421,405.837,562.428,219.449
