Estacion,Tipo,IDEstacion,IDNodo,hora,>C5,AL,AT,B,BA,BT,C,C2G,C2P,C3-C4,C5,ESP,INT,L,M,TOTAL
L_AK_86_AC_17,NOHAB,15,75270,18,17.25,3.75,0,50.5,0,37.25,64.75,81.25,21.25,15.25,18.75,22.25,91.5,1903.75,557,2884.5
L_AK_86_AC_17,NOHAB,15,75270,19,13.25,4.5,0,49.25,0,34.25,67.75,66,18,12,14.75,14.75,77.25,1848.5,449,2669.25
L_AK_86_AC_17,NOHAB,15,75270,20,15.5,3.75,0,40,0,37,58,46.25,10.75,5.75,11.25,14,60.5,1714.75,397.5,2415
L_AK_86_AC_17,NOHAB,15,75270,21,9,3.5,0,29.75,0,41.5,55,41.25,10.5,4.75,8.5,18.5,60,1542.5,351.75,2176.5
L_AK_86_AC_17,NOHAB,15,75270,22,13.25,3.5,2,29.75,0,37.5,46.5,43.5,23.25,10.75,10.5,34.75,43.25,1279.25,385.25,1963
L_AK_86_AC_17,NOHAB,15,75270,23,11.75,6.5,0.5,18.25,0,37.5,23.25,31.75,19.5,7.25,7.25,14.25,18,922.5,144,1262.25
L_AK_68_AC_9,NOHAB,21,32883,0,0.333333333,0,0.666666667,3.833333333,0,3.666666667,3.166666667,15,6.166666667,5.333333333,1,8,2.666666667,512.5,55.5,617.8333333
L_AK_68_AC_9,NOHAB,21,32883,1,2.333333333,0,0.166666667,0.666666667,0,0,1,17.16666667,3,4.166666667,0.5,4.666666667,1.666666667,426.3333333,36.16666667,497.8333333
L_AK_68_AC_9,NOHAB,21,32883,2,1,0,0,0,0,0.333333333,0.833333333,16.66666667,8.333333333,3.666666667,0.833333333,5.166666667,1.5,380.5,31,449.8333333
L_AK_68_AC_9,NOHAB,21,32883,3,1,0,0,2,0,1,1.833333333,13.16666667,9,2.666666667,1.166666667,4.666666667,2.833333333,401.5,39,479.8333333
L_AK_68_AC_9,NOHAB,21,32883,4,2.833333333,0,2.5,13.16666667,0,10.33333333,9.5,18.83333333,14.5,3,2.166666667,8.166666667,15.16666667,422.6666667,69,591.8333333
L_AK_68_AC_9,NOHAB,21,32883,5,3,0,17.33333333,49.33333333,1.666666667,30.33333333,38.33333333,43.66666667,27.83333333,4,1.333333333,13.66666667,33.5,749.1666667,496.1666667,1509.333333
L_AK_68_AC_9,NOHAB,21,32883,6,2.333333333,0,29.5,66.33333333,3.333333333,39.16666667,44.66666667,45.5,37,4.833333333,1.333333333,18.5,31.16666667,1414.5,763.3333333,2501.5
