Classes_1,CIV,IDNodo,COL,CK_DNH_Cs,TARGET_FID,Estado20_1,TIPO_CLA_1,NOMBRE_EJE,ELEM,IDEstacion,IDW_Cs,ESTACION,LON_1,ROW,CK_DH_Cs,Input_FID_,OBJECTID,FID_Grilla,NOMBRE_EXT,Classes,Shape_Leng,NOMBRE_E_1,OBJECTID_4,CLASIFI_SU,Largo_Via,OBJECTID_2,ORIG_FID,Classes_12,FID_LINK,CODIGO_LOC,LAT_1,hora,AT,BA,NH_AT,NH_BA,PPH,PPNH,FEHPM10,FEHPM25,FENHPM10,FENHPM25,FAH,FANH,EHPM10,EHPM25,ENHPM10,ENHPM25
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,22,32,9.733333333,30.33333333,7.833333333,32.82,32.46,11.525,4.97,11.417,4.914,2.015,1.844,23.217,10.012,21.048,9.06
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,23,16.33333333,1.133333333,13.83333333,1.666666667,30.72,31.29,10.895,4.646,11.066,4.734,0.845,0.749,9.211,3.928,8.287,3.545
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,0,2,0,2.166666667,0,30.0,30.0,10.677,4.535,10.677,4.535,0.136,0.148,1.452,0.617,1.575,0.669
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,1,0.133333333,0,0,0,40.0,0.0,13.635,6.081,0.0,0.0,0.007,0.0,0.093,0.041,0.0,0.0
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,2,0.2,0,0.166666667,0,30.0,30.0,10.677,4.535,10.677,4.535,0.014,0.012,0.145,0.062,0.123,0.052
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,3,0.266666667,0,0.166666667,0,26.67,30.0,9.661,4.022,10.677,4.535,0.02,0.012,0.197,0.082,0.123,0.052
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,4,8.733333333,0.733333333,5.5,0,30.82,30.0,10.925,4.661,10.677,4.535,0.646,0.374,7.056,3.011,3.993,1.696
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,5,30.2,6.133333333,18.5,2.166666667,32.06,31.26,11.297,4.853,11.057,4.729,2.468,1.405,27.882,11.977,15.539,6.646
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,6,64.66666667,11.73333333,41.16666667,3.333333333,31.84,30.9,11.231,4.819,10.949,4.674,5.194,3.026,58.34,25.031,33.126,14.14
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,7,95.26666667,15.66666667,72.33333333,4.333333333,31.7,30.68,11.189,4.797,10.883,4.64,7.54,5.212,84.369,36.171,56.721,24.183
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,8,93.06666667,15.2,75.66666667,3.833333333,31.67,30.58,11.18,4.793,10.853,4.624,7.363,5.405,82.324,35.288,58.659,24.995
4.0,1001558.0,3493.0,40.0,0.935885,682.0,REGULAR,1.0,AK 45,24008294.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,9102.0,2849.0,CL 163,4.0,67.9891701769,CL 163A,8387.0,Troncal,67.9892,683.0,769.0,3.0,771.0,11,4.746536,9,77.66666667,12.26666667,62.33333333,4.333333333,31.65,30.78,11.174,4.789,10.913,4.655,6.112,4.532,68.301,29.274,49.459,21.098
